Id,Label,community,frequency,degree_weighted,betweenness,pagerank
latour,latour,0,73,292.0000,0.041774,0.011046
inteligencia,inteligencia,1,67,403.0000,0.049275,0.013152
modos,modos,7,32,135.0000,0.015002,0.005655
problema,problema,0,25,104.0000,0.004268,0.004439
nocao,nocao,5,20,75.0000,0.000000,0.003513
pessoas,pessoas,5,16,31.0000,0.000000,0.001940
elementos,elementos,4,18,26.0000,0.000000,0.001754
pergunta,pergunta,2,25,88.0000,0.000000,0.003861
sistemas,sistemas,5,31,68.0000,0.000063,0.003324
objeto,objeto,4,76,323.0000,0.048501,0.011892
producao,producao,7,20,73.0000,0.000565,0.003363
pratica,pratica,1,66,270.0000,0.043144,0.010255
relacao,relacao,3,37,143.0000,0.000377,0.005784
principio,principio,0,18,77.0000,0.000000,0.003522
manifesta,manifesta,8,19,143.0000,0.000753,0.005771
etnografia,etnografia,1,107,534.0000,0.144713,0.019194
colaboracao,colaboracao,3,22,87.0000,0.000000,0.003731
partir,partir,0,46,211.0000,0.012146,0.008245
sociais,sociais,2,53,262.0000,0.040424,0.009428
produz,produz,7,26,132.0000,0.001632,0.005427
tecnica,tecnica,3,22,75.0000,0.000000,0.003462
cortes,cortes,1,35,146.0000,0.000659,0.005915
conjunto,conjunto,2,23,83.0000,0.000000,0.003717
pensamento,pensamento,7,22,87.0000,0.000000,0.003905
computacional,computacional,6,27,106.0000,0.010420,0.004865
haraway,haraway,0,54,264.0000,0.019647,0.010311
lugar,lugar,1,64,214.0000,0.004268,0.008154
artificial,artificial,1,67,393.0000,0.030758,0.012928
corporacao,corporacao,6,20,37.0000,0.000126,0.002181
simultaneamente,simultaneamente,4,19,86.0000,0.001036,0.003737
treinamento,treinamento,2,15,59.0000,0.000628,0.002792
diferenca,diferenca,2,15,47.0000,0.000000,0.002407
heterogeneos,heterogeneos,1,20,84.0000,0.003578,0.003920
comunidades,comunidades,5,16,25.0000,0.000000,0.001751
mobiliza,mobiliza,0,17,87.0000,0.000126,0.003917
relacoes,relacoes,1,45,148.0000,0.001318,0.005922
descricao,descricao,1,49,233.0000,0.011926,0.008894
linguagem,linguagem,3,36,130.0000,0.001067,0.005277
ciencia,ciencia,2,108,559.0000,0.140010,0.019693
escrita,escrita,3,36,215.0000,0.005555,0.007945
distribuida,distribuida,5,17,114.0000,0.000000,0.004816
pesquisa,pesquisa,1,169,678.0000,0.314507,0.024043
material,material,1,27,111.0000,0.000000,0.004634
conhecimento,conhecimento,7,45,215.0000,0.014500,0.008179
coisa,coisa,0,15,32.0000,0.000000,0.001965
estrutura,estrutura,0,18,52.0000,0.000000,0.002639
infraestrutura,infraestrutura,6,31,121.0000,0.001946,0.005368
