Id,Label,community,frequency,degree_weighted,betweenness,pagerank
ausencia,ausencia,6,23,133.0000,0.004741,0.008889
mundo,mundo,0,35,92.0000,0.000206,0.006039
conhecimento,conhecimento,0,47,148.0000,0.000206,0.008857
presenca,presenca,6,23,115.0000,0.002474,0.007790
conceito,conceito,1,62,164.0000,0.007816,0.009601
plano,plano,3,30,106.0000,0.000000,0.006800
metodo,metodo,3,105,325.0000,0.044338,0.017923
formulacao,formulacao,1,51,130.0000,0.008160,0.008042
formula,formula,1,23,85.0000,0.000000,0.005830
pesquisa,pesquisa,0,205,663.0000,0.259328,0.034238
cientista,cientista,0,33,74.0000,0.000206,0.005216
pratica,pratica,0,91,267.0000,0.008864,0.014615
latour,latour,1,114,317.0000,0.077613,0.017610
cadeia,cadeia,2,26,85.0000,0.000000,0.005807
produz,produz,0,30,102.0000,0.000206,0.006785
aparece,aparece,1,28,102.0000,0.000000,0.006712
diagrama,diagrama,4,28,57.0000,0.000000,0.004411
figuracao,figuracao,1,45,120.0000,0.000412,0.007677
relacoes,relacoes,0,50,105.0000,0.000000,0.006801
gesto,gesto,1,81,251.0000,0.054422,0.013766
teoria,teoria,2,41,212.0000,0.000412,0.010960
ponto,ponto,2,32,57.0000,0.000000,0.004197
generativa,generativa,5,29,134.0000,0.000000,0.007346
possivel,possivel,0,28,99.0000,0.001649,0.006342
tecnico,tecnico,0,33,79.0000,0.000000,0.005478
experiencia,experiencia,3,26,84.0000,0.000000,0.005497
dado,dado,0,72,226.0000,0.018347,0.012190
posicao,posicao,0,41,82.0000,0.000000,0.005393
descricao,descricao,0,68,291.0000,0.074418,0.015852
decisoes,decisoes,3,25,82.0000,0.000825,0.005478
pesquisador,pesquisador,4,66,202.0000,0.029685,0.011324
spira,spira,2,45,105.0000,0.010926,0.006551
artificial,artificial,5,89,510.0000,0.019790,0.023620
vocabulario,vocabulario,1,41,91.0000,0.000000,0.006061
lugar,lugar,0,66,142.0000,0.000000,0.008616
modos,modos,0,40,89.0000,0.026180,0.005980
parciais,parciais,1,35,131.0000,0.004449,0.008565
strathern,strathern,1,65,247.0000,0.022676,0.014010
rede,rede,2,240,887.0000,0.387446,0.045019
humano,humano,3,122,302.0000,0.035663,0.016812
materiais,materiais,0,38,78.0000,0.000000,0.005389
nomeia,nomeia,3,34,126.0000,0.010513,0.007892
maquina,maquina,3,64,162.0000,0.012987,0.009716
conceitos,conceitos,1,47,77.0000,0.000000,0.005213
escrita,escrita,4,55,226.0000,0.010101,0.012209
parcial,parcial,3,34,200.0000,0.037930,0.011765
partir,partir,1,46,151.0000,0.000000,0.009065
existencias,existencias,1,26,116.0000,0.003298,0.007773
agencia,agencia,2,40,140.0000,0.003195,0.008891
existencia,existencia,3,29,154.0000,0.000825,0.009262
cortes,cortes,0,35,81.0000,0.000000,0.005514
actante,actante,2,57,113.0000,0.001855,0.007381
descreve,descreve,4,49,192.0000,0.005051,0.010998
centro,centro,5,39,96.0000,0.000000,0.005805
pergunta,pergunta,0,39,94.0000,0.000000,0.006129
kofes,kofes,1,29,92.0000,0.000000,0.006086
relacao,relacao,3,64,194.0000,0.000412,0.010994
material,material,0,43,138.0000,0.000825,0.008412
textil,textil,1,35,117.0000,0.007009,0.007633
haraway,haraway,1,67,189.0000,0.004741,0.011175
pensamento,pensamento,0,33,91.0000,0.000000,0.006150
ator,ator,2,56,273.0000,0.015255,0.013893
registro,registro,1,33,98.0000,0.000000,0.006328
seguir,seguir,2,29,83.0000,0.000206,0.005716
infraestrutura,infraestrutura,0,34,53.0000,0.000000,0.004070
termo,termo,0,37,64.0000,0.000000,0.004718
textual,textual,2,25,129.0000,0.006803,0.007402
descrever,descrever,2,35,92.0000,0.000000,0.005855
etnografia,etnografia,0,168,625.0000,0.196248,0.032125
laboratorio,laboratorio,0,47,133.0000,0.018553,0.008284
sustenta,sustenta,0,37,133.0000,0.002680,0.008209
distribuida,distribuida,2,22,96.0000,0.000000,0.006437
linguagem,linguagem,4,42,130.0000,0.000000,0.007704
objeto,objeto,0,96,317.0000,0.015048,0.016973
analise,analise,2,78,250.0000,0.009689,0.013520
composicao,composicao,3,26,70.0000,0.000000,0.004920
modelo,modelo,4,90,270.0000,0.020820,0.014944
hinterland,hinterland,6,37,123.0000,0.038343,0.007875
inteligencia,inteligencia,5,89,496.0000,0.037106,0.022911
torna,torna,0,40,157.0000,0.007421,0.009381
campo,campo,0,131,320.0000,0.025562,0.016947
parte,parte,4,71,274.0000,0.007421,0.014825
sociais,sociais,0,43,167.0000,0.002268,0.009422
otherness,otherness,6,28,154.0000,0.035457,0.009919
condicao,condicao,0,35,74.0000,0.000000,0.005225
ciencia,ciencia,0,103,384.0000,0.049680,0.020119
pensar,pensar,0,43,122.0000,0.009792,0.007721
argumento,argumento,1,38,89.0000,0.000000,0.005998
manifesta,manifesta,6,19,127.0000,0.000000,0.008554
claude,claude,4,87,217.0000,0.009276,0.011622
compostagem,compostagem,1,32,115.0000,0.000000,0.007377
secao,secao,1,41,152.0000,0.003092,0.009290
tecnociencia,tecnociencia,4,41,149.0000,0.028860,0.008678
termos,termos,4,59,81.0000,0.000000,0.005363
conexao,conexao,3,21,113.0000,0.001031,0.007179
inscricao,inscricao,4,89,200.0000,0.021027,0.011679
corte,corte,1,76,291.0000,0.115509,0.016258
tecnologia,tecnologia,0,45,98.0000,0.000000,0.006112
construcao,construcao,5,35,134.0000,0.000000,0.007786
associacao,associacao,2,45,99.0000,0.000412,0.006505
