Id,Label,community,frequency,degree_weighted,betweenness,pagerank
digital,digital,0,36,131.0000,0.002134,0.004007
efeito,efeito,2,22,129.0000,0.006842,0.004076
seguir,seguir,3,30,139.0000,0.000188,0.004468
cientifico,cientifico,7,34,89.0000,0.010247,0.003388
nome,nome,0,35,134.0000,0.000000,0.004199
corte,corte,1,89,473.0000,0.114494,0.012779
lado,lado,2,20,71.0000,0.000000,0.002702
recursos,recursos,2,26,83.0000,0.000000,0.002975
teoria,teoria,3,48,305.0000,0.002134,0.007744
diagrama,diagrama,6,34,130.0000,0.001255,0.004395
registro,registro,1,39,152.0000,0.000251,0.004676
kofes,kofes,0,30,132.0000,0.001318,0.004176
cadeia,cadeia,6,27,125.0000,0.000000,0.003982
mundo,mundo,0,38,152.0000,0.000063,0.004751
modelo,modelo,4,87,369.0000,0.014186,0.010287
parcial,parcial,2,34,251.0000,0.022723,0.007181
otherness,otherness,8,33,203.0000,0.016634,0.006137
publico,publico,3,33,89.0000,0.000000,0.003073
instituicao,instituicao,7,39,131.0000,0.017701,0.004405
subsecao,subsecao,1,28,130.0000,0.000126,0.004147
estudos,estudos,5,22,126.0000,0.000000,0.003757
inteligencia,inteligencia,4,106,692.0000,0.011613,0.016233
associacao,associacao,3,45,155.0000,0.000031,0.004892
experiencia,experiencia,0,25,115.0000,0.001820,0.003718
gesto,gesto,1,83,337.0000,0.008600,0.009176
heterogeneos,heterogeneos,0,24,115.0000,0.000251,0.003847
maior,maior,3,25,88.0000,0.018768,0.003076
conexao,conexao,2,25,162.0000,0.000942,0.004984
strathern,strathern,1,70,385.0000,0.041805,0.010690
sustenta,sustenta,0,36,184.0000,0.001695,0.005518
modos,modos,6,42,168.0000,0.025422,0.005261
notas,notas,6,24,73.0000,0.009102,0.002761
descrever,descrever,4,39,132.0000,0.000000,0.004024
ciencia,ciencia,5,111,613.0000,0.073191,0.015976
inscricao,inscricao,6,100,407.0000,0.064549,0.011422
generativa,generativa,4,32,206.0000,0.000000,0.005421
contexto,contexto,8,24,62.0000,0.000565,0.002488
processo,processo,0,32,106.0000,0.000000,0.003500
distribuida,distribuida,2,22,132.0000,0.000000,0.004157
conceitos,conceitos,1,49,132.0000,0.000000,0.004219
pergunta,pergunta,4,48,177.0000,0.000000,0.005283
decisoes,decisoes,2,26,130.0000,0.002574,0.004042
nomeia,nomeia,1,37,188.0000,0.004582,0.005686
descrevo,descrevo,3,20,113.0000,0.000000,0.003673
condicoes,condicoes,0,28,124.0000,0.000000,0.004063
ator,ator,3,61,350.0000,0.008976,0.008819
figuracao,figuracao,1,52,240.0000,0.001506,0.006948
narrativa,narrativa,0,20,72.0000,0.000000,0.002673
elementos,elementos,0,22,47.0000,0.000031,0.002119
entidades,entidades,2,27,93.0000,0.000000,0.003255
infraestrutura,infraestrutura,7,37,156.0000,0.009541,0.005172
existencias,existencias,1,30,197.0000,0.016634,0.005752
conhecimento,conhecimento,0,47,195.0000,0.000000,0.005760
ontologia,ontologia,4,23,84.0000,0.000000,0.003018
sustentam,sustentam,0,20,112.0000,0.000000,0.003748
tornam,tornam,3,19,91.0000,0.000000,0.003108
pensamento,pensamento,6,26,103.0000,0.000000,0.003530
diferentes,diferentes,6,28,51.0000,0.000000,0.002181
aparece,aparece,1,26,123.0000,0.000000,0.003944
regra,regra,0,25,110.0000,0.000000,0.003506
hinterland,hinterland,8,38,203.0000,0.019208,0.006077
fato,fato,2,23,87.0000,0.000000,0.003135
arranjo,arranjo,7,19,71.0000,0.000000,0.002715
laboratorio,laboratorio,4,54,218.0000,0.017890,0.006348
armadilha,armadilha,1,19,43.0000,0.000000,0.001917
torna,torna,0,37,168.0000,0.000188,0.005006
maquina,maquina,2,76,319.0000,0.037474,0.008998
conceito,conceito,1,76,304.0000,0.012742,0.008653
pratica,pratica,0,93,398.0000,0.020306,0.010856
antropologia,antropologia,5,21,64.0000,0.000063,0.002509
leitura,leitura,1,35,124.0000,0.000000,0.003943
partir,partir,1,51,244.0000,0.001130,0.007060
cientista,cientista,4,35,145.0000,0.004080,0.004639
percurso,percurso,0,24,92.0000,0.000000,0.003208
material,material,0,42,184.0000,0.000000,0.005485
computacao,computacao,4,21,94.0000,0.000000,0.003223
linguagem,linguagem,4,43,174.0000,0.000000,0.005086
tecnicas,tecnicas,0,24,93.0000,0.000000,0.003212
presenca,presenca,8,27,166.0000,0.009478,0.005111
termo,termo,5,41,123.0000,0.000000,0.003929
dado,dado,5,77,325.0000,0.024418,0.008847
