Id,Label,community,frequency,degree_weighted,betweenness,pagerank
seguir,seguir,0,70,264.0000,0.093383,0.017622
trajetoria,trajetoria,2,47,151.0000,0.030303,0.011492
comercial,comercial,5,23,58.0000,0.005154,0.005790
sigo,sigo,0,22,81.0000,0.000000,0.006515
cientifico,cientifico,1,40,128.0000,0.016904,0.009992
recursos,recursos,1,37,63.0000,0.000000,0.005701
registro,registro,3,25,49.0000,0.000000,0.004464
grupo,grupo,1,30,99.0000,0.000825,0.008096
tornou,tornou,1,26,75.0000,0.000000,0.006193
modelo,modelo,4,76,157.0000,0.041538,0.012584
publico,publico,1,85,292.0000,0.058957,0.020268
instituicao,instituicao,1,69,181.0000,0.004123,0.012906
inteligencia,inteligencia,2,52,311.0000,0.092146,0.019564
associacao,associacao,0,62,125.0000,0.001649,0.009185
brasileiro,brasileiro,2,25,100.0000,0.003092,0.007440
relatorios,relatorios,1,34,129.0000,0.009483,0.010002
hollerith,hollerith,2,62,192.0000,0.061121,0.014564
saude,saude,1,31,68.0000,0.000000,0.005540
maior,maior,3,36,73.0000,0.003917,0.006358
ciencia,ciencia,2,42,93.0000,0.012369,0.007633
pergunta,pergunta,0,43,123.0000,0.017316,0.009265
descrevo,descrevo,0,32,123.0000,0.015873,0.009484
resposta,resposta,0,25,62.0000,0.000000,0.005246
gente,gente,3,25,54.0000,0.000000,0.005032
ator,ator,0,62,211.0000,0.065347,0.014980
infraestrutura,infraestrutura,1,57,136.0000,0.012987,0.010537
conhecimento,conhecimento,4,37,50.0000,0.000000,0.004820
aberto,aberto,4,28,91.0000,0.001237,0.007840
historica,historica,5,24,96.0000,0.012884,0.008261
arranjo,arranjo,1,98,271.0000,0.027314,0.018937
laboratorio,laboratorio,3,66,205.0000,0.040301,0.014608
novembro,novembro,3,21,62.0000,0.000000,0.005323
maquina,maquina,2,67,200.0000,0.028448,0.014549
pratica,pratica,5,31,32.0000,0.000000,0.003708
fapesp,fapesp,1,58,168.0000,0.034426,0.011942
producao,producao,1,25,74.0000,0.000000,0.006292
partir,partir,1,54,112.0000,0.002474,0.009076
material,material,1,34,56.0000,0.000412,0.005290
computacao,computacao,2,35,78.0000,0.006184,0.006519
linguagem,linguagem,4,31,76.0000,0.009380,0.007200
registros,registros,1,25,69.0000,0.000000,0.005835
dado,dado,4,76,139.0000,0.030097,0.011115
posicao,posicao,1,33,76.0000,0.000000,0.006266
relatorio,relatorio,1,36,63.0000,0.000000,0.005621
inovacao,inovacao,2,31,114.0000,0.000000,0.008235
obia,obia,2,18,88.0000,0.000618,0.007137
campo,campo,0,68,129.0000,0.000206,0.009750
investigacao,investigacao,5,19,63.0000,0.000206,0.005796
termos,termos,0,38,70.0000,0.000206,0.005922
claudio,claudio,0,164,732.0000,0.265100,0.044915
research,research,3,24,100.0000,0.002680,0.007825
descricao,descricao,0,20,57.0000,0.000206,0.005193
pesquisa,pesquisa,1,163,540.0000,0.262523,0.035753
porta,porta,0,22,74.0000,0.000000,0.005989
negocio,negocio,4,21,65.0000,0.006390,0.006020
segui,segui,0,26,117.0000,0.000000,0.008454
brasil,brasil,3,70,256.0000,0.054422,0.018252
historia,historia,5,26,52.0000,0.000618,0.005178
sistema,sistema,2,37,60.0000,0.000000,0.005448
financiamento,financiamento,1,43,97.0000,0.000000,0.007349
tecnologia,tecnologia,2,86,153.0000,0.015461,0.011425
parte,parte,3,45,109.0000,0.005669,0.008527
acesso,acesso,3,36,99.0000,0.018347,0.008378
publicacoes,publicacoes,1,39,107.0000,0.012781,0.008631
aprendizado,aprendizado,2,17,77.0000,0.000000,0.006090
escala,escala,3,35,49.0000,0.000000,0.004770
empresa,empresa,2,80,197.0000,0.033395,0.014137
documentos,documentos,0,23,84.0000,0.001237,0.006902
ecossistema,ecossistema,2,60,192.0000,0.029478,0.013115
relacao,relacao,0,27,59.0000,0.000000,0.005184
informacao,informacao,0,30,198.0000,0.000000,0.012056
humano,humano,0,40,46.0000,0.000000,0.004402
analise,analise,0,52,135.0000,0.022882,0.010343
questao,questao,4,25,72.0000,0.000206,0.006207
entrevistas,entrevistas,0,40,137.0000,0.037106,0.010039
tabulacao,tabulacao,2,31,114.0000,0.001443,0.009292
codigo,codigo,4,28,102.0000,0.021233,0.008720
bluetalks,bluetalks,0,28,80.0000,0.000000,0.006415
pesquisador,pesquisador,3,60,120.0000,0.003917,0.009358
universidade,universidade,1,49,158.0000,0.002474,0.011121
deixa,deixa,1,27,61.0000,0.000000,0.005508
ponto,ponto,1,41,93.0000,0.000825,0.007611
fabio,fabio,0,88,456.0000,0.168625,0.027483
processamento,processamento,4,18,69.0000,0.002680,0.006566
artificial,artificial,2,57,314.0000,0.049062,0.019979
vinculo,vinculo,3,49,166.0000,0.000825,0.012117
verbal,verbal,0,27,173.0000,0.000000,0.010738
fala,fala,0,24,83.0000,0.001649,0.006590
observacao,observacao,0,20,77.0000,0.000000,0.006378
tecnica,tecnica,5,29,67.0000,0.008864,0.006636
actante,actante,0,28,78.0000,0.012575,0.006824
rede,rede,0,145,413.0000,0.138322,0.027731
disponivel,disponivel,3,22,59.0000,0.000618,0.005653
corporacao,corporacao,1,90,215.0000,0.028860,0.015234
secao,secao,2,22,49.0000,0.000000,0.004771
fechamento,fechamento,3,22,104.0000,0.000000,0.008061
etnografia,etnografia,0,42,109.0000,0.001031,0.008629
parceria,parceria,2,25,64.0000,0.000000,0.005631
descreve,descreve,0,35,83.0000,0.000206,0.007052
centro,centro,1,129,435.0000,0.352195,0.028824
