Source,Target,Type,Weight,npmi
seguir,latour,Undirected,4.00,0.1053
seguir,ciencia,Undirected,5.00,0.0881
seguir,acao,Undirected,3.00,0.1091
seguir,cientista,Undirected,10.00,0.2950
seguir,etnografia,Undirected,11.00,0.2069
seguir,tecnociencia,Undirected,4.00,0.1487
seguir,associacao,Undirected,16.00,0.2224
seguir,fabio,Undirected,43.00,0.3605
seguir,claudio,Undirected,29.00,0.1814
seguir,trajetoria,Undirected,11.00,0.1802
seguir,seculo,Undirected,6.00,0.2269
seguir,infraestrutura,Undirected,2.00,-0.0651
seguir,maquina,Undirected,4.00,0.0081
seguir,hollerith,Undirected,2.00,-0.0719
seguir,ator,Undirected,34.00,0.3377
seguir,rede,Undirected,12.00,0.0413
seguir,lugar,Undirected,3.00,0.0798
seguir,descrevo,Undirected,17.00,0.3024
seguir,tomo,Undirected,3.00,0.1153
seguir,resposta,Undirected,2.00,0.0596
seguir,investigacao,Undirected,4.00,0.1471
seguir,historica,Undirected,4.00,0.1244
seguir,diferenca,Undirected,3.00,0.1219
seguir,universidade,Undirected,2.00,-0.0447
seguir,decisao,Undirected,3.00,0.0976
seguir,brasil,Undirected,2.00,-0.0758
seguir,registros,Undirected,8.00,0.2048
seguir,unidos,Undirected,2.00,0.0596
seguir,comercial,Undirected,2.00,0.0486
seguir,escolha,Undirected,7.00,0.2593
seguir,entrevistas,Undirected,4.00,0.0795
seguir,objeto,Undirected,3.00,0.1032
seguir,campo,Undirected,4.00,0.0024
seguir,questao,Undirected,4.00,0.1410
seguir,conta,Undirected,3.00,0.0949
seguir,disponivel,Undirected,2.00,0.0640
seguir,acesso,Undirected,3.00,0.0355
seguir,instituicao,Undirected,2.00,-0.0741
seguir,plano,Undirected,3.00,0.0846
seguir,ponto,Undirected,3.00,0.0262
seguir,segui,Undirected,4.00,0.1053
seguir,porta,Undirected,10.00,0.2697
seguir,periodo,Undirected,3.00,0.1153
seguir,abertura,Undirected,3.00,0.1289
seguir,laboratorio,Undirected,3.00,-0.0326
seguir,momentos,Undirected,3.00,0.1363
seguir,documentos,Undirected,3.00,0.0822
seguir,corporacao,Undirected,3.00,-0.0808
seguir,arranjo,Undirected,8.00,0.0213
seguir,tornou,Undirected,2.00,0.0251
seguir,observacao,Undirected,5.00,0.1851
seguir,mapa,Undirected,2.00,0.0671
seguir,metodo,Undirected,3.00,0.1186
seguir,ecossistema,Undirected,3.00,-0.0313
seguir,conhecimento,Undirected,2.00,0.0093
seguir,leitura,Undirected,3.00,0.0686
seguir,torno,Undirected,2.00,0.0785
seguir,fechamento,Undirected,3.00,0.1091
seguir,research,Undirected,2.00,0.0596
seguir,base,Undirected,2.00,0.0656
seguir,sistema,Undirected,2.00,-0.0152
trajetoria,inovacao,Undirected,5.00,0.1656
trajetoria,seculo,Undirected,6.00,0.2709
trajetoria,infraestrutura,Undirected,3.00,0.0190
trajetoria,corporacao,Undirected,18.00,0.2094
trajetoria,rede,Undirected,6.00,-0.0051
trajetoria,registro,Undirected,4.00,0.1612
trajetoria,acordo,Undirected,5.00,0.1891
trajetoria,fapesp,Undirected,2.00,-0.0014
trajetoria,hollerith,Undirected,11.00,0.1901
trajetoria,mostra,Undirected,2.00,0.1105
trajetoria,porta,Undirected,2.00,0.0834
trajetoria,inscricao,Undirected,3.00,0.1558
trajetoria,ator,Undirected,2.00,-0.0319
trajetoria,historica,Undirected,11.00,0.3261
