Id,Label,community,frequency,degree_weighted,betweenness,pagerank
escolha,escolha,0,38,147.0000,0.000000,0.003731
etapa,etapa,0,49,171.0000,0.000000,0.004073
ambiente,ambiente,1,30,139.0000,0.000000,0.003491
humano,humano,3,81,249.0000,0.000188,0.005755
pacientes,pacientes,5,94,387.0000,0.009478,0.008227
analise,analise,0,85,371.0000,0.013935,0.007750
neural,neural,6,43,233.0000,0.000000,0.005056
corpo,corpo,4,61,245.0000,0.003013,0.005759
gravacao,gravacao,4,33,135.0000,0.000847,0.003468
entrada,entrada,0,29,102.0000,0.000000,0.002786
translacoes,translacoes,0,28,149.0000,0.001883,0.003587
valores,valores,1,28,62.0000,0.000000,0.002117
microfone,microfone,4,40,116.0000,0.000126,0.003216
referencia,referencia,0,40,156.0000,0.011487,0.003836
codigo,codigo,0,51,173.0000,0.000000,0.004239
voz,voz,3,30,132.0000,0.000000,0.003393
celular,celular,4,69,221.0000,0.000879,0.005184
pesquisador,pesquisador,1,61,179.0000,0.000000,0.004276
visivel,visivel,0,51,263.0000,0.014814,0.006283
artigos,artigos,2,117,527.0000,0.000000,0.010624
escuta,escuta,4,29,119.0000,0.000690,0.003194
deteccao,deteccao,5,32,191.0000,0.000000,0.004261
ponto,ponto,0,86,346.0000,0.007972,0.007622
possivel,possivel,3,46,232.0000,0.000502,0.005303
pessoa,pessoa,4,27,50.0000,0.000000,0.001860
condicao,condicao,4,79,346.0000,0.016383,0.007550
coeficientes,coeficientes,1,53,164.0000,0.000000,0.004178
precisao,precisao,5,41,150.0000,0.000000,0.003714
covideiro,covideiro,3,236,1177.0000,0.201117,0.023439
fenomeno,fenomeno,7,35,124.0000,0.000000,0.003290
processamento,processamento,1,39,182.0000,0.001569,0.004558
protocolo,protocolo,3,52,177.0000,0.000000,0.004268
programa,programa,3,45,219.0000,0.010985,0.005076
artificial,artificial,1,31,111.0000,0.000000,0.003000
movimento,movimento,0,46,170.0000,0.000126,0.004158
algoritmo,algoritmo,1,48,192.0000,0.000063,0.004711
pandemico,pandemico,3,49,300.0000,0.000000,0.006327
acustica,acustica,5,38,188.0000,0.009290,0.004377
momento,momento,0,44,166.0000,0.000439,0.004179
verbal,verbal,2,27,57.0000,0.000000,0.001977
fala,fala,4,62,219.0000,0.000188,0.005177
reconhecer,reconhecer,5,31,130.0000,0.000753,0.003319
actante,actante,3,112,465.0000,0.011550,0.009800
configuracao,configuracao,3,57,221.0000,0.000251,0.005071
tecnica,tecnica,1,37,121.0000,0.000000,0.003223
rede,rede,6,222,935.0000,0.093811,0.018951
ruido,ruido,1,82,374.0000,0.029691,0.008323
latour,latour,0,88,312.0000,0.003390,0.007040
clinica,clinica,4,38,165.0000,0.008160,0.004160
produziu,produziu,3,42,157.0000,0.000000,0.003877
disponivel,disponivel,2,36,151.0000,0.001695,0.003906
parametros,parametros,1,37,113.0000,0.000000,0.003168
produz,produz,0,56,297.0000,0.000879,0.006693
covid,covid,5,82,418.0000,0.020212,0.008830
distintos,distintos,7,44,191.0000,0.000000,0.004374
secao,secao,0,100,369.0000,0.005649,0.007998
etnografia,etnografia,0,43,193.0000,0.000126,0.004639
artigo,artigo,2,207,884.0000,0.087534,0.017800
inscrito,inscrito,3,34,165.0000,0.000000,0.003999
descreve,descreve,0,54,259.0000,0.007784,0.005766
medicos,medicos,3,42,113.0000,0.000000,0.003011
parte,parte,0,27,119.0000,0.000000,0.003244
analitico,analitico,0,28,109.0000,0.000188,0.003091
hospitais,hospitais,5,45,170.0000,0.000879,0.003987
centro,centro,2,58,293.0000,0.011236,0.006743
antiprograma,antiprograma,3,35,155.0000,0.000000,0.003795
