Source,Target,Type,Weight,npmi
digital,estudos,Undirected,8.00,0.1855
digital,ciencia,Undirected,6.00,0.0232
digital,tecnologia,Undirected,30.00,0.3243
digital,tecnica,Undirected,6.00,0.1110
digital,parte,Undirected,3.00,0.0492
digital,etnografia,Undirected,10.00,0.1949
digital,lado,Undirected,3.00,0.0925
digital,antropologia,Undirected,50.00,0.4813
digital,sociologia,Undirected,24.00,0.4132
digital,dado,Undirected,6.00,0.0624
digital,figuras,Undirected,4.00,0.1360
digital,partir,Undirected,4.00,0.0404
digital,inteligencia,Undirected,3.00,-0.1076
lexical,contagem,Undirected,3.00,0.1574
lexical,life,Undirected,3.00,0.1829
lexical,rotulos,Undirected,14.00,0.3218
lexical,catalogo,Undirected,43.00,0.5177
lexical,laboratory,Undirected,3.00,0.1944
lexical,latour,Undirected,7.00,0.0826
lexical,action,Undirected,3.00,0.1404
lexical,science,Undirected,3.00,0.0967
lexical,hope,Undirected,5.00,0.2529
lexical,pandora,Undirected,4.00,0.2055
lexical,obras,Undirected,3.00,0.1051
lexical,rotulo,Undirected,4.00,0.0863
lexical,etapa,Undirected,16.00,0.3982
lexical,leitura,Undirected,4.00,0.1092
lexical,repositorio,Undirected,4.00,0.2031
lexical,aime,Undirected,8.00,0.2181
lexical,densidade,Undirected,3.00,0.1377
lexical,interna,Undirected,3.00,0.2343
lado,haraway,Undirected,8.00,0.1809
lado,conhecimento,Undirected,4.00,0.0544
lado,science,Undirected,5.00,0.0680
lado,tecnociencia,Undirected,4.00,0.0709
lado,pandora,Undirected,3.00,0.1053
lado,frequencia,Undirected,5.00,0.2128
lado,topologia,Undirected,3.00,0.1121
lado,distribuicao,Undirected,10.00,0.2255
lado,rotulo,Undirected,3.00,-0.0101
lado,textil,Undirected,4.00,0.1274
lado,conceito,Undirected,7.00,0.1676
lado,rede,Undirected,6.00,0.0491
lado,modelo,Undirected,6.00,0.1220
lado,generativa,Undirected,11.00,0.2386
lado,cadeia,Undirected,3.00,0.0383
lado,inteligencia,Undirected,3.00,-0.0893
lado,artificial,Undirected,3.00,-0.0905
lado,defesas,Undirected,3.00,0.0798
lado,figuras,Undirected,8.00,0.1848
lado,relacao,Undirected,3.00,0.0973
lado,figuracoes,Undirected,9.00,0.1397
teoria,tecnologia,Undirected,3.00,-0.0662
teoria,estudos,Undirected,5.00,0.0605
teoria,ator,Undirected,152.00,0.7071
teoria,rede,Undirected,106.00,0.4602
teoria,objeto,Undirected,14.00,0.1364
teoria,latour,Undirected,33.00,0.1447
teoria,obras,Undirected,5.00,0.0245
teoria,descricao,Undirected,8.00,0.1707
teoria,campo,Undirected,5.00,-0.0476
teoria,vocabulario,Undirected,13.00,0.0761
teoria,termos,Undirected,13.00,0.1594
teoria,tecnociencia,Undirected,15.00,0.1566
teoria,densidade,Undirected,3.00,-0.0001
teoria,descreve,Undirected,21.00,0.2171
teoria,leitura,Undirected,3.00,-0.0635
teoria,rotulo,Undirected,3.00,-0.0856
teoria,rotulos,Undirected,4.00,-0.0073
teoria,pratica,Undirected,12.00,0.1257
teoria,descrever,Undirected,9.00,0.1975
teoria,social,Undirected,5.00,0.0535
teoria,figuracoes,Undirected,5.00,0.0153
teoria,conceito,Undirected,3.00,-0.0160
teoria,palavras,Undirected,4.00,0.0591
teoria,partir,Undirected,3.00,-0.0494
teoria,sistemas,Undirected,5.00,0.0334
teoria,analise,Undirected,3.00,-0.0941
registro,militar,Undirected,31.00,0.2380
registro,industria,Undirected,11.00,0.2514
registro,analise,Undirected,4.00,-0.0353
registro,objeto,Undirected,4.00,0.0050
registro,rotulo,Undirected,6.00,0.0202
registro,obras,Undirected,3.00,-0.0042
registro,etapa,Undirected,5.00,0.0665
registro,science,Undirected,7.00,0.0882
registro,tecnociencia,Undirected,4.00,0.0224
registro,action,Undirected,6.00,0.1157
registro,aparece,Undirected,10.00,0.1986
registro,densidade,Undirected,5.00,0.0892
registro,pandora,Undirected,5.00,0.1209
registro,hope,Undirected,3.00,0.0736
registro,latour,Undirected,12.00,0.0290
registro,topologico,Undirected,9.00,0.2786
registro,figuracao,Undirected,11.00,0.1179
registro,textil,Undirected,8.00,0.1704
registro,vocabulario,Undirected,17.00,0.1208
registro,artigos,Undirected,3.00,0.0180
registro,clarifications,Undirected,4.00,0.1337
registro,network,Undirected,4.00,0.0921
registro,livros,Undirected,12.00,0.2639
registro,escrita,Undirected,6.00,0.1287
registro,quadro,Undirected,3.00,0.0607
registro,aime,Undirected,5.00,0.0360
registro,parte,Undirected,3.00,0.0205
registro,descreve,Undirected,5.00,0.0519
