Id,Label,community,frequency,degree_weighted,betweenness,pagerank
digital,digital,0,55,205.0000,0.000565,0.004648
graduacao,graduacao,0,31,157.0000,0.001193,0.003813
lexical,lexical,2,25,160.0000,0.000000,0.003512
press,press,6,31,93.0000,0.011173,0.003884
stengers,stengers,1,26,106.0000,0.000000,0.002740
cientifico,cientifico,1,34,148.0000,0.016634,0.003696
lado,lado,1,48,173.0000,0.000000,0.004038
teoria,teoria,1,88,527.0000,0.050405,0.009681
registro,registro,2,68,311.0000,0.007595,0.006300
sociologia,sociologia,0,34,186.0000,0.001695,0.004357
grupo,grupo,5,25,79.0000,0.000126,0.002446
cadeia,cadeia,3,56,178.0000,0.006528,0.004381
ocorrencias,ocorrencias,2,85,515.0000,0.016760,0.009430
mundo,mundo,1,31,104.0000,0.000000,0.002749
modelo,modelo,3,87,280.0000,0.032311,0.006236
openalex,openalex,0,37,211.0000,0.001004,0.004779
publico,publico,0,35,160.0000,0.004519,0.003651
imagem,imagem,0,26,64.0000,0.000000,0.002004
estudos,estudos,0,60,352.0000,0.000000,0.006761
passo,passo,3,29,129.0000,0.000000,0.003150
densidade,densidade,2,61,413.0000,0.000000,0.007811
inteligencia,inteligencia,3,274,1854.0000,0.214770,0.031930
passa,passa,1,31,145.0000,0.000000,0.003394
defesas,defesas,0,38,232.0000,0.000000,0.004885
gesto,gesto,1,47,137.0000,0.000000,0.003439
objetivo,objetivo,0,23,40.0000,0.000000,0.001554
figuras,figuras,0,41,183.0000,0.000377,0.004229
maior,maior,2,39,219.0000,0.000628,0.004821
ocorrencia,ocorrencia,2,32,150.0000,0.000063,0.003412
taxa,taxa,0,25,149.0000,0.006528,0.003684
sustenta,sustenta,2,54,279.0000,0.006591,0.006080
modos,modos,5,33,132.0000,0.003955,0.003406
ciencia,ciencia,0,170,1025.0000,0.143368,0.018602
descrever,descrever,1,37,182.0000,0.000000,0.004002
generativa,generativa,3,53,312.0000,0.005838,0.006116
contexto,contexto,3,23,79.0000,0.000000,0.002242
palavras,palavras,2,49,330.0000,0.000000,0.006295
extracao,extracao,3,25,71.0000,0.000126,0.002182
pergunta,pergunta,1,44,104.0000,0.000000,0.002881
descrevo,descrevo,3,25,105.0000,0.000000,0.002785
livros,livros,2,37,205.0000,0.000126,0.004252
pessoas,pessoas,3,29,64.0000,0.000000,0.002099
ator,ator,1,76,466.0000,0.010922,0.008696
frequencia,frequencia,2,32,217.0000,0.001067,0.004488
figuracao,figuracao,2,118,616.0000,0.044253,0.011461
obras,obras,1,84,444.0000,0.034838,0.008716
registra,registra,2,28,142.0000,0.000000,0.003236
infraestrutura,infraestrutura,3,37,90.0000,0.000000,0.002591
conhecimento,conhecimento,0,101,363.0000,0.023727,0.007916
distribuicao,distribuicao,2,51,355.0000,0.009290,0.006984
university,university,6,25,76.0000,0.000000,0.003382
catalogo,catalogo,2,88,521.0000,0.070554,0.009897
aparece,aparece,2,53,320.0000,0.004645,0.006292
forsythe,forsythe,0,40,121.0000,0.000251,0.003246
regra,regra,1,27,36.0000,0.000000,0.001590
action,action,4,60,465.0000,0.001695,0.008364
fato,fato,1,27,78.0000,0.002009,0.002472
laboratory,laboratory,4,37,275.0000,0.009227,0.005292
laboratorio,laboratorio,1,25,136.0000,0.000000,0.003429
torna,torna,1,37,125.0000,0.000000,0.003124
maquina,maquina,3,77,356.0000,0.004959,0.007262
scielo,scielo,0,51,320.0000,0.021530,0.006666
conceito,conceito,1,70,300.0000,0.068295,0.006158
pratica,pratica,1,75,356.0000,0.032452,0.007240
antropologia,antropologia,0,72,382.0000,0.024794,0.007804
leitura,leitura,2,108,424.0000,0.020087,0.008478
producao,producao,0,52,285.0000,0.012742,0.006240
recalling,recalling,2,28,157.0000,0.000000,0.003453
partir,partir,0,95,391.0000,0.001569,0.008029
recorte,recorte,0,39,161.0000,0.000000,0.003786
material,material,3,25,94.0000,0.000000,0.002588
repositorio,repositorio,0,47,237.0000,0.019271,0.005166
topologia,topologia,2,44,309.0000,0.015818,0.006015
linguagem,linguagem,3,34,172.0000,0.002825,0.003947
subcampo,subcampo,0,26,137.0000,0.000000,0.003293
cultura,cultura,3,27,81.0000,0.000000,0.002389
classificacao,classificacao,0,23,78.0000,0.000000,0.002305
presenca,presenca,0,23,105.0000,0.000000,0.002719
termo,termo,1,48,157.0000,0.000000,0.003643
dado,dado,0,121,417.0000,0.030742,0.008780
